i,data.theta_m1,data.theta_l1,data.delta_theta_r1,data.Trr_ad,data.theta_m2,data.theta_l2,data.delta_theta_r2,data.Trr_cf
270,24.607969284057617,11.3399658203125,13.268003463745117,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
271,24.630468368530273,11.3759765625,13.254491806030273,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
272,24.6417179107666,11.3759765625,13.265741348266602,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
273,24.696561813354492,11.3759765625,13.320585250854492,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
274,24.700780868530273,11.4119873046875,13.288793563842773,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
275,24.731718063354492,11.4119873046875,13.319730758666992,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
276,24.723281860351562,11.4119873046875,13.311294555664062,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
277,24.71484375,11.4119873046875,13.3028564453125,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
278,24.703594207763672,11.447998046875,13.255596160888672,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
279,24.703594207763672,11.447998046875,13.255596160888672,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
280,24.672657012939453,11.447998046875,13.224658966064453,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
281,24.636093139648438,11.447998046875,13.188095092773438,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
282,-4.120312690734863,11.447998046875,-15.568310737609863,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
283,24.5770320892334,11.447998046875,13.129034042358398,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
284,24.513750076293945,11.447998046875,13.065752029418945,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
285,24.5067195892334,11.447998046875,13.058721542358398,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
286,24.492656707763672,11.447998046875,13.044658660888672,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
287,24.450468063354492,11.447998046875,13.002470016479492,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
288,24.444843292236328,11.447998046875,12.996845245361328,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
289,24.43359375,11.447998046875,12.985595703125,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
290,24.43359375,11.447998046875,12.985595703125,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
291,24.43359375,11.447998046875,12.985595703125,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
292,24.411094665527344,11.447998046875,12.963096618652344,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
293,24.416719436645508,11.447998046875,12.968721389770508,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
294,24.423749923706055,11.447998046875,12.975751876831055,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
295,24.432188034057617,11.447998046875,12.984189987182617,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
296,24.442031860351562,11.447998046875,12.994033813476562,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
297,24.450468063354492,11.447998046875,13.002470016479492,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
298,24.460311889648438,11.447998046875,13.012313842773438,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
299,24.46875,11.447998046875,13.020751953125,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
300,24.48421859741211,11.447998046875,13.03622055053711,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
301,24.492656707763672,11.447998046875,13.044658660888672,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
302,24.49968719482422,11.447998046875,13.051689147949219,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
303,24.50812530517578,11.447998046875,13.060127258300781,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
304,24.540468215942383,11.447998046875,13.092470169067383,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
305,24.565780639648438,11.447998046875,13.117782592773438,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
306,24.567188262939453,11.447998046875,13.119190216064453,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
307,24.62484359741211,11.447998046875,13.17684555053711,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
308,24.652969360351562,11.447998046875,13.204971313476562,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
309,-4.120312690734863,11.447998046875,-15.568310737609863,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
310,24.713438034057617,11.4840087890625,13.229429244995117,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
311,24.761249542236328,11.4840087890625,13.277240753173828,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
312,24.761249542236328,11.4840087890625,13.277240753173828,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
313,24.772499084472656,11.4840087890625,13.288490295410156,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
314,24.779531478881836,11.4840087890625,13.295522689819336,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
315,24.779531478881836,11.52001953125,13.259511947631836,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
316,24.841405868530273,11.52001953125,13.321386337280273,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
317,24.84000015258789,11.52001953125,13.31998062133789,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
318,24.865312576293945,11.52001953125,13.345293045043945,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
319,24.876562118530273,11.55596923828125,13.320592880249023,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
320,24.876562118530273,11.55596923828125,13.320592880249023,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
321,24.907499313354492,11.55596923828125,13.351530075073242,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
322,24.882186889648438,11.55596923828125,13.326217651367188,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
323,24.882186889648438,11.55596923828125,13.326217651367188,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
